date,Returns
1998-01-02,0.0
1998-01-05,0.0
1998-01-06,0.0
1998-01-07,0.0
1998-01-08,0.0
1998-01-09,0.0
1998-01-12,0.0
1998-01-13,0.0
1998-01-14,0.0
1998-01-15,0.0
1998-01-16,0.0
1998-01-19,0.0
1998-01-20,0.0
1998-01-21,0.0
1998-01-22,0.0
1998-01-23,0.0
1998-01-26,0.0
1998-01-27,0.0
1998-01-28,0.0
1998-01-29,0.0
1998-01-30,0.0
1998-02-02,0.0
1998-02-03,0.0
1998-02-04,0.0
1998-02-05,0.0
1998-02-06,0.0
1998-02-09,0.0
1998-02-10,0.0
1998-02-11,0.0
1998-02-12,0.0
1998-02-13,0.0
1998-02-16,0.0
1998-02-17,0.0
1998-02-18,0.0
1998-02-19,0.0
1998-02-20,0.0
1998-02-23,0.0
1998-02-24,0.0
1998-02-25,0.0
1998-02-26,0.0
1998-02-27,0.0
1998-03-02,0.0
1998-03-03,0.0
1998-03-04,0.0
1998-03-05,0.0
1998-03-06,0.0
1998-03-09,0.0
1998-03-10,0.0
1998-03-11,0.0
1998-03-12,0.0
1998-03-13,0.0
1998-03-16,0.0
1998-03-17,0.0
1998-03-18,0.0
1998-03-19,0.0
1998-03-20,0.0
1998-03-23,0.0
1998-03-24,0.0
1998-03-25,0.0
1998-03-26,0.0
1998-03-27,0.0
1998-03-30,0.0
1998-03-31,0.0
1998-04-01,0.0
1998-04-02,0.0
1998-04-03,0.0
1998-04-06,0.0
1998-04-07,0.0
1998-04-08,0.0
1998-04-09,0.0
1998-04-10,0.0
1998-04-13,0.0
1998-04-14,0.0
1998-04-15,0.0
1998-04-16,0.0
1998-04-17,0.0
1998-04-20,0.0
1998-04-21,0.0
1998-04-22,0.0
1998-04-23,0.0
1998-04-24,0.0
1998-04-27,0.0
1998-04-28,0.0
1998-04-29,0.0
1998-04-30,0.0
1998-05-01,0.0
1998-05-04,0.0
1998-05-05,0.0
1998-05-06,0.0
1998-05-07,0.0
1998-05-08,0.0
1998-05-11,0.0
1998-05-12,-0.07300233415964921
1998-05-13,0.036443026487678325
1998-05-14,-0.025141734701927196
1998-05-15,-0.005251100292175603
1998-05-18,0.04171605498884487
1998-05-19,-0.03883709839670687
1998-05-20,0.009695683043183608
1998-05-21,-0.023321138275241817
1998-05-22,-0.08859648476316748
1998-05-25,-0.03033103102027015
1998-05-26,-0.004465254038731303
1998-05-27,0.0
1998-05-28,0.0
1998-05-29,0.0
1998-06-01,0.0
1998-06-02,0.0
1998-06-03,0.0
1998-06-04,0.0
1998-06-05,0.0
1998-06-08,0.0
1998-06-09,0.0
1998-06-10,0.0
1998-06-11,0.0
1998-06-12,0.0
1998-06-15,0.0
1998-06-16,0.0
1998-06-17,0.0
1998-06-18,0.0
1998-06-19,0.0
1998-06-22,0.0
1998-06-23,0.0
1998-06-24,0.0
1998-06-25,0.0
1998-06-26,0.0
1998-06-29,0.0
1998-06-30,0.0
1998-07-01,0.0
1998-07-02,0.0
1998-07-03,0.0
1998-07-06,0.0
1998-07-07,0.0
1998-07-08,0.0
1998-07-09,0.0
1998-07-10,0.0
1998-07-13,0.0
1998-07-14,0.0
1998-07-15,0.0
1998-07-16,0.0
1998-07-17,0.0
1998-07-20,0.0
1998-07-21,0.0
1998-07-22,0.0
1998-07-23,0.0
1998-07-24,0.0
1998-07-27,0.0
1998-07-28,0.0
1998-07-29,0.0
1998-07-30,-0.016332089460056935
1998-07-31,0.03406668946620327
1998-08-03,0.005936569482183165
1998-08-04,-0.015097556341417465
1998-08-05,0.03921617140948089
1998-08-06,-0.0065005388425927344
1998-08-07,-0.030826776063496774
1998-08-10,-0.004146756337100974
1998-08-11,0.08467504184140004
1998-08-12,0.11523712219665988
1998-08-13,-0.024081702861360008
1998-08-14,0.024433579429528066
1998-08-17,-0.025330298580073823
1998-08-18,0.009822534419942868
1998-08-19,0.06358971940027291
1998-08-20,0.06735217919698414
1998-08-21,0.06668528376752066
1998-08-24,0.023463378771226284
1998-08-25,-0.007060808233733707
1998-08-26,0.11249091406630046
1998-08-27,0.12406602802445535
1998-08-28,0.06664943564693807
1998-08-31,0.0
1998-09-01,0.0
1998-09-02,0.0
1998-09-03,0.0
1998-09-04,0.0
1998-09-07,0.0
1998-09-08,0.0
1998-09-09,0.0
1998-09-10,0.0
1998-09-11,0.0
1998-09-14,0.0
1998-09-15,0.0
1998-09-16,0.0
1998-09-17,0.0
1998-09-18,0.0
1998-09-21,0.0
1998-09-22,0.0
1998-09-23,0.0
1998-09-24,0.0
1998-09-25,0.0
1998-09-28,0.0
1998-09-29,0.0
1998-09-30,0.0
1998-10-01,0.0
1998-10-02,0.0
1998-10-05,0.0
1998-10-06,0.0
1998-10-07,0.0
1998-10-08,0.0
1998-10-09,0.0
1998-10-12,0.0
1998-10-13,0.0
1998-10-14,0.0
1998-10-15,0.0
1998-10-16,0.0
1998-10-19,0.0
1998-10-20,0.0
1998-10-21,0.0
1998-10-22,0.0
1998-10-23,0.0
1998-10-26,0.0
1998-10-27,0.0
1998-10-28,0.0
1998-10-29,0.0
1998-10-30,0.0
1998-11-02,0.0
1998-11-03,0.0
1998-11-04,0.0
1998-11-05,0.0
1998-11-06,0.0
1998-11-09,0.0
1998-11-10,0.0
1998-11-11,0.0
1998-11-12,0.0
1998-11-13,0.0
1998-11-16,0.0
1998-11-17,0.0
1998-11-18,0.0
1998-11-19,0.0
1998-11-20,0.0
1998-11-23,0.0
1998-11-24,0.0
1998-11-25,0.0
1998-11-26,0.0
1998-11-27,0.0
1998-11-30,0.0
1998-12-01,0.0
1998-12-02,0.0
1998-12-03,0.0
1998-12-04,0.0
1998-12-07,0.0
1998-12-08,0.0
1998-12-09,0.0
1998-12-10,0.0
1998-12-11,0.0
1998-12-14,0.0
1998-12-15,0.0
1998-12-16,0.0
1998-12-17,0.0
1998-12-18,0.0
1998-12-21,0.0
1998-12-22,0.0
1998-12-23,0.0
1998-12-24,0.0
1998-12-25,0.0
1998-12-28,0.0
1998-12-29,0.0
1998-12-30,0.0
1998-12-31,0.0
1999-01-01,0.0
1999-01-04,0.0
1999-01-05,0.0
1999-01-06,0.0
1999-01-07,0.0
1999-01-08,0.0
1999-01-11,0.0
1999-01-12,0.0
1999-01-13,0.0
1999-01-14,0.0
1999-01-15,0.0
1999-01-18,0.0
1999-01-19,0.0
1999-01-20,0.0
1999-01-21,0.0
1999-01-22,0.0
1999-01-25,0.0
1999-01-26,0.0
1999-01-27,0.0
1999-01-28,0.0
1999-01-29,0.0
1999-02-01,0.0
1999-02-02,0.0
1999-02-03,0.0
1999-02-04,0.0
1999-02-05,0.0
1999-02-08,0.0
1999-02-09,0.0
1999-02-10,0.0
1999-02-11,0.0
1999-02-12,0.0
1999-02-15,0.0
1999-02-16,0.0
1999-02-17,0.0
1999-02-18,0.0
1999-02-19,0.0
1999-02-22,0.0
1999-02-23,0.0
1999-02-24,0.0
1999-02-25,0.0
1999-02-26,0.0
1999-03-01,0.0
1999-03-02,0.0
1999-03-03,0.0
1999-03-04,0.0
1999-03-05,0.0
1999-03-08,0.0
1999-03-09,0.0
1999-03-10,0.014754161182138388
1999-03-11,0.04918805453227955
1999-03-12,0.026041894966503158
1999-03-15,-0.061308802719329834
1999-03-16,-0.003681010338257107
1999-03-17,0.02636453765229397
1999-03-18,-0.02625310817215288
1999-03-19,0.017743253672257715
1999-03-22,-0.007109655329625871
1999-03-23,0.022906610544324916
1999-03-24,0.03299339416398876
1999-03-25,0.005859369845051193
1999-03-26,0.034000724873139966
1999-03-29,0.003445023624035749
1999-03-30,0.0
1999-03-31,0.0
1999-04-01,0.0
1999-04-02,0.0
1999-04-05,0.0
1999-04-06,0.0
1999-04-07,0.0
1999-04-08,0.0
1999-04-09,0.0
1999-04-12,0.0
1999-04-13,0.0
1999-04-14,0.0
1999-04-15,0.0
1999-04-16,0.0
1999-04-19,0.0
1999-04-20,0.0
1999-04-21,0.0
1999-04-22,0.0
1999-04-23,0.0
1999-04-26,0.0
1999-04-27,0.0
1999-04-28,0.0
1999-04-29,0.0
1999-04-30,0.0
1999-05-03,0.0
1999-05-04,0.0
1999-05-05,0.0
1999-05-06,0.0
1999-05-07,0.0
1999-05-10,0.0
1999-05-11,0.0
1999-05-12,0.0
1999-05-13,0.0
1999-05-14,0.0
1999-05-17,0.0
1999-05-18,0.0
1999-05-19,0.0
1999-05-20,0.0
1999-05-21,0.0
1999-05-24,0.0
1999-05-25,0.0
1999-05-26,0.0
1999-05-27,0.0
1999-05-28,0.0
1999-05-31,0.0
1999-06-01,0.0
1999-06-02,0.0
1999-06-03,0.0
1999-06-04,0.0
1999-06-07,0.0
1999-06-08,0.0
1999-06-09,0.0
1999-06-10,0.0
1999-06-11,0.0
1999-06-14,0.0
1999-06-15,0.0
1999-06-16,0.0
1999-06-17,0.0
1999-06-18,0.0
